id,name,latitude,longitude,neighborhood,room_type,price,availability_365,number_of_reviews,reviews_per_month,review_scores_rating
745041703941982859,A-Suite: Corner 1br King bed + Private Balcony!,41.88529,-87.62044,Loop,Entire home/apt,190.0,97,4,0.12,5.0
745596621504676789,Extra roomy private bedroom near Midway Airport.,41.782567531625205,-87.72503849,West Lawn,Private room,96.0,233,3,0.28,4.67
745634262297310801,Hip Music Themed Apartment,41.90030655213782,-87.69787241,West Town,Entire home/apt,100.0,8,154,4.88,4.84
745634270816918956,Comfy Private Unit Fast Wi-Fi Selfcheck-in-,41.92927,-87.7631,Belmont Cragin,Entire home/apt,61.0,21,21,0.6,4.86
745700021251652788,Chicago FHS Rental - Vernon Ave,41.74809,-87.61455,Chatham,Entire home/apt,284.0,110,0,,
745893069877701966,2. Private Room,41.70719,-87.53667,East Side,Private room,22.0,57,13,0.37,4.08
745901942830422419,4. Single Private bedroom,41.70638,-87.53857,East Side,Private room,22.0,82,8,0.24,3.88
745902529441815922,Private Studio,41.70627,-87.53867,East Side,Private room,40.0,319,7,0.22,5.0
745925164737911235,Exquisite 2 bed apt near downtown & hydepark,41.81664,-87.61531,Grand Boulevard,Entire home/apt,97.0,331,3,0.12,5.0
745984908602258238,2 BR/1 BA with Separate Entrance,41.97497527865324,-87.77636363,Jefferson Park,Entire home/apt,77.0,307,103,3.12,4.72
746363778642070592,"Logan Square Chicago 2BR cottage, close to it all!",41.91663,-87.69262,Logan Square,Entire home/apt,145.0,55,87,2.65,4.84
746601502466774651,A-Suite: Corner 1BR + Balcony. Park and Lake View!,41.88698,-87.62099,Loop,Entire home/apt,170.0,364,0,,
746618158006531618,Convertible/1BR + private balcony - views of city!,41.88743,-87.61946,Loop,Entire home/apt,151.0,363,1,0.03,5.0
746826570251666140,"Blueground | Loop, gym & doorman, steps to L",41.8772287,-87.6290111,Loop,Entire home/apt,174.0,334,0,,
746982296201916619,3BR/2BA Luxury Glass Apartment | Amazing Views,41.86374,-87.62365,Near South Side,Entire home/apt,423.0,147,57,1.79,4.74
747134626137040628,"Prime Location 2BR: Balcony, Restful Night",41.8764586,-87.6555539,Near West Side,Entire home/apt,362.0,349,68,1.96,4.9
